Date,Sui_x,Solana_x,Ethereum_x,Polygon PoS_x,Avalanche C-Chain_x,Price,Open,High,Low,Vol.,Change %,Sui_y,Solana_y,Ethereum_y,Near_x,Aptos - Daily Active Addresses,Avalanche C-Chain - Daily Active Addresses,Bitcoin - Daily Active Addresses,BNB Chain - Daily Active Addresses,Cardano - Daily Active Addresses,Ethereum - Daily Active Addresses,Flow - Daily Active Addresses,Fuse - Daily Active Addresses,Gnosis Chain - Daily Active Addresses,Injective - Daily Active Addresses,Internet Computer - Daily Active Addresses,Multiversx - Daily Active Addresses,Near - Daily Active Addresses,Polkadot - Daily Active Addresses,Sei Network - Daily Active Addresses,Solana - Daily Active Addresses,Stellar - Daily Active Addresses,Sui - Daily Active Addresses,TON - Daily Active Addresses,Tron - Daily Active Addresses,Avalanche C-Chain_y,Ethereum_x.1,Near_y,Polygon PoS_y,Solana_x.1,Aptos_x,Avalanche C-Chain_x.1,Ethereum_y.1,Near_x.1,Sui_x.1,Polygon PoS_x.1,Solana_y.1,TON_x,Aptos_y,Avalanche C-Chain_y.1,Ethereum_x.2,Sui_y.1,Polygon PoS_y.1,Solana_x.2,TON_y,Aptos,Avalanche C-Chain,Ethereum_y.2,Near_y.1,Sui,Polygon PoS,Solana_y.2,TON,Arbitrum,Avalanche,Base,BNB Chain,Ethereum,Optimism,Solana,Tron,Tron.1
2009-12-28,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-01-04,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-01-25,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,26.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,52.85714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-02-08,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-02-15,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,47.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-02-22,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,93.42857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,109970.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0756997761124825,0.0,0.0,110.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.33075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102177.97380000002,0.0,0.0,0.0,0.0,0.0,0.0,132.48690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109970.0,0.0,0.0,0.0,0.0
